PMID,Title,Abstract
40842924,<i>Khaya grandifololia</i> exerts multitarget neuroprotective potential against neurodegenerative disorders: <i>In vitro</i> and <i>in silico</i> studies.,"Treatment for complex multifactorial neurological disorders may benefit more from multifunctional chemicals. Dysregulation of monoaminergic pathways and neuroinflammation are typical confluence points in a range of neuropsychiatric and neurodegenerative illnesses. Polypharmacological medications that affect neuroinflammatory and monoaminergic pathways were investigated as potential targets for these diseases. The aim of this study was to investigate the <i>in vitro</i> and <i>in silico</i> multi-target neuroprotective activity of <i>Khaya grandifololia</i>. Decoction and hydro-ethanolic extracts were prepared and screened for their ability to inhibit enzymes related to inflammation (15-lipoxygenase, LOX), neurodegeneration (monoamine oxidase, MAO), and protein glycation and fibrillation using enzymological fluorimetric assays and docking simulations. All extracts were able to strongly inhibit the activity of MAO as well as the glycation and fibrillation activities. Also, these extracts moderately inhibited 15-LOX activity. These results extend the knowledge on the potential use of <i>Khaya grandifololia</i> to combat multifactorial disorders, giving new approaches into therapeutic avenues for neurodegenerative disease such as Alzheimer's disease."
40842786,Cognitive Decline in Chronic Inflammatory Conditions: Exploring Links Between Systemic Inflammation and Neurodegeneration.,"Chronic inflammatory diseases (CIDs), such as rheumatoid arthritis (RA), obesity, type 2 diabetes mellitus (T2DM), systemic lupus erythematosus (SLE), fibromyalgia (FM), and chronic infection, are risk factors for neurodegenerative diseases, such as Alzheimer's disease (AD) and Parkinson's disease (PD). This review synthesizes evidence from longitudinal cohort studies and clinical trials, highlighting the contrasting evidence to explain the complex association between systemic inflammation and neurodegeneration. These important mechanisms are disruption of the blood-brain barrier, microglial activation, cytokine-related neurotoxicity (e.g., IL-6, TNF-alpha), lysosomal maladaptation, and metabolic imbalance (e.g., insulin resistance, hyperglycemia). Disease-specific correlations present study outcomes that are paradoxical, including that RA has genetic protection against PD but an increased risk of AD, whereas obesity and T2D associations are the same across studies, persistent associations of these terms with worsened cognitive decline. The risk of dementia is worsened by autoimmune diseases, such as SLE and FM, involving neuroinflammation caused by autoantibodies and central sensitization in the latter, respectively. The new markers, such as glial fibrillary acidic protein (GFAP) (neuroinflammation) and neurofilament light (NfL) (axonal injury), have prospects in early detection, but there is a need for validation in future studies. Therapeutic approaches emphasize the need for immunomodulation (e.g., disease-modifying antirheumatic drugs {DMARDs} in RA), glycemic control in T2DM, and lifestyle interventions, with a lack of targeting the non-amyloid pathways. New studies should emphasize longitudinal studies, multiome-based methods, and clinical trials in an attempt to create precision treatment. Considering the inflammatory risk stratification in the prevention of neurodegeneration, this review sheds light on the possibility of early preventative action that may offset the progressive cognitive decline in especially vulnerable groups."
40842648,"Neuroinflammation-mediated YKL-40 correlates with tau pathology and predicts longitudinal cognitive impairment and brain atrophy in Alzheimer's disease, with hypertensive dependency.","Neuroinflammation and hypertension are involved in Alzheimer's disease (AD). However, their independent and additive impacts on astrocytes and AD-related pathologies have not been fully explored. Hence, this study investigated whether the associations between astrocyte reactivity, measured by cerebrospinal fluid (CSF), Chitinase 3-like protein 1 (CHI3L1/YKL-40), and AD-related pathologies were mediated by neuroinflammation and whether these associations were modified by hypertension. We also investigated the influence of hypertension on the relationship between baseline levels of CSF YKL-40 and longitudinal changes in cognitive function and brain structures. This study analyzed 288 participants from the AD Neuroimaging Initiative (ADNI) database. Multivariate linear regression, interaction, and subgroup analyses were conducted to explore the interrelationship between CSF YKL-40, AD biomarkers, neuroinflammation, cognitive function, and brain structures. Causal mediation analyses with 10,000 bootstrapped iterations were performed, using CSF YKL-40 as the independent variable and AD-related pathologies as the dependent variables, to explore mediation effects of neuroinflammation. Linear mixed-effects models were employed to study the associations between CSF YKL-40 and longitudinal changes in cognitive function and brain structures. Higher baseline CSF YKL-40 levels were correlated with higher p-tau, t-tau, and neuroinflammatory biomarkers (ICAM1, VCAM1, sTNFR1, and sTNFR2), but with lower entorhinal cortex volume. Interaction showed that hypertension had a moderating influence on the associations between CSF YKL-40 and p-tau and t-tau. The significant associations of CSF YKL-40 with p-tau and t-tau were partially mediated by neuroinflammatory biomarkers (ICAM1, VCAM1, sTNFR1, and sTNFR2) in the whole sample (proportions: 13.0%∼78.8%). Similarly, the partial mediation effects of VCAM1, sTNFR1, and sTNFR2 on the aforementioned associations also existed in hypertensive subgroup (proportions: 17.9%∼50.3%). Additionally, higher baseline levels of CSF YKL-40 predicted faster decline in cognitive performance and brain atrophy (volumes of whole brain, hippocampus, entorhinal cortex, and middle temporal lobe) in the whole sample. Notably, subgroup analyses showed that the associations between higher CSF YKL-40 and faster brain atrophy were pronounced in hypertensive individuals. These findings suggest that neuroinflammation may mediate the relationship between astrocyte reactivity, measured by CSF YKL-40, and AD-related pathologies, with significant hypertensive dependency. Furthermore, elevated baseline CSF YKL-40 levels accelerated cognitive decline and brain atrophy, particularly in hypertensive individuals."
40842193,Validation of a plasma GFAP immunoassay and establishment of age-related reference values: bridging analytical performance and routine implementation.,"Glial fibrillary acidic protein (GFAP) is a well-established biomarker of astrocytic activation associated with neurodegenerative diseases, neuroinflammatory disorders, and traumatic brain injury. With increasing interest in blood-based biomarkers, the need for analytically validated assays and reliable reference intervals is critical for routine clinical implementation. This study aimed to analytically validate the MSD S-Plex<sup>®</sup> GFAP immunoassay for plasma and to establish age-stratified reference intervals in an apparently healthy population. This study was conducted in two phases. First, key analytical validation parameters - including repeatability, intermediate precision, measurement range, interferences, and sample stability - were evaluated following Clinical and Laboratory Standards Institute (CLSI) and published protocol guidelines. Second, reference intervals were derived from 579 apparently healthy individuals aged 17-91 years using a right-sided non-parametric percentile method. Age-specific upper reference limits were calculated for three predefined age groups, and a continuous age-dependent centile model was applied. MSD S-Plex<sup>®</sup> GFAP assay demonstrated strong analytical performance, with coefficients of variation for repeatability and intermediate precision below 12 %. After accounting for the 1:2 dilution ratio, the validated measurement range was 0.425-1760 ng/L, with all calibration residuals remaining within ±15 %. GFAP concentrations were unaffected by hemolysis (p=0.85) and remained stable for up to 7 days at 4 °C and under frozen storage conditions. Age-stratified upper reference limits for plasma GFAP were established as 38 pg/mL (18-<50 years), 73 pg/mL (≥50-<70 years), and 156 pg/mL (≥70 years). Additionally, sex-related differences were observed after age 50, with females showing higher absolute GFAP levels than males. A strong positive correlation between age and plasma GFAP levels was observed (Spearman's r=0.832, p<0.0001). This study demonstrates the robust analytical performance of the MSD S-Plex<sup>®</sup> GFAP assay and establishes age-related reference values for plasma GFAP. These findings support its suitability for routine clinical use and enhance its applicability in the diagnosis and monitoring of central nervous system (CNS) pathologies, such as neurodegenerative diseases, neuroinflammatory disorders, and acute brain injuries, within biomarker-supported clinical algorithms."
40841660,Systemic inflammation as a central player in the initiation and development of Alzheimer's disease.,"Alzheimer's disease (AD) is an age-related neurodegenerative disorder and the most common cause of dementia. While the amyloid cascade hypothesis has long dominated AD research, emerging evidence suggests that neuroinflammation may play a more central role in disease onset and progression. Increasingly, AD is recognized as a multifactorial disorder influenced by systemic inflammation and immune dysregulation, shifting focus toward peripheral immune mechanisms as potential contributors to neurodegeneration. This review explores the hypothesis that inflammaging, the age-related increase in pro-inflammatory mediators, combined with lifelong exposure to infections, injuries, metabolic changes, and chronic diseases, among others, may prime the immune system, amplifying neuroinflammation and influencing the progression and exacerbation of AD pathology. To this end, we examined how systemic immune disturbances, including chronic pain, post-operative cognitive dysfunction, viral and bacterial infections, gut microbiome dysregulation, and cardiovascular disease, may act as risk factors for AD. Overall, evidence suggests that modulating peripheral inflammation, accompanied by early diagnosis, could significantly reduce the risk of developing AD. Furthermore, we highlight key immune signaling pathways involved in both central and peripheral immune responses, such as the NLRP3 inflammasome and TREM2, which represent promising therapeutic targets for modulating inflammation while preserving protective immune functions. Strategies aimed at reducing systemic inflammation, identifying early biomarkers, and intervening before significant neurodegeneration occurs may provide novel approaches to delay or prevent AD onset. In conclusion, this review underscores the crucial role of systemic inflammation in AD pathogenesis and progression. By targeting peripheral immune dysfunction, we may advance our understanding of AD mechanisms and develop more effective therapeutic interventions to mitigate disease risk and progression."
40841382,"Mapping Alzheimer's disease pathology using free water through integrated analysis of plasma biomarkers, microstructural DTI metrics, and macrostructural MRI measures.","Alzheimer's disease (AD) is characterized by amyloid-beta (Aβ) and tau pathologies that drive neuroinflammation and neurodegeneration. Free water (FW), a diffusion tensor imaging (DTI) metric reflecting extracellular fluid changes, has emerged as a sensitive marker of neuroinflammation. This study examined the role of FW in AD and its associations with plasma biomarkers, brain structural measures, and cognitive decline. We analyzed 968 participants across the AD continuum from Samsung Medical Center. Plasma biomarkers were measured using Single Molecule Array technology. DTI metrics (FW, fractional anisotropy (FA), and mean diffusivity (MD)) and structural MRI-derived hippocampal volume and cortical thickness were assessed. Plasma phosphorylated tau 217 (pTau217) significantly correlated with FW in both white matter (WM) and gray matter (GM), but not with FA or MD. All DTI metrics were associated with reduced hippocampal volume and lower cortical thickness. Mediation analyses revealed that FW in WM and GM had both direct and indirect associations with cognitive decline, while FA and MD were indirectly linked to cognitive outcomes through structural measures. These findings support FW as a sensitive marker of neuroinflammation, linking microstructural changes to macrostructural changes and cognitive outcomes. Integrating plasma biomarkers, DTI, and MRI may improve understanding of AD pathophysiology and support the development of targeted diagnostic and therapeutic approaches."
40841001,Involvement of four alga toxins in the risks of human neurodegenerative diseases: Toxicogenomic data mining and bioinformatics analysis.,"Alga toxins have recently emerged as an environmental risk factor, especially to neurodegenerative diseases, such as Alzheimer's disease, Parkinson's disease and amyotrophic lateral sclerosis. However, the association between the alga toxins β-N-methylamino-L-alanine (BMAA), brevetoxin B, cyanoginosin LR, okadaic acid and neurodegenerative diseases remains inadequately investigated. Therefore, the aim of this study was to elucidate the potential associations. Four sets of differentially expressed genes related with BMAA, brevetoxin B, cyanoginosin LR and okadaic acid in Homo sapiens and genes linked to neurodegenerative disease development were respectively collected from the Comparative Toxicogenomic Database. Metascape analysis and cluster community analysis of four alga toxins highlighted protein-protein interaction enrichment and hub genes, while biological processes analysis showed that the dominant pathways involved in harmful effects triggered by four alga toxins were the apoptotic signaling pathway, regulation of amyloid protein formation, inflammatory response and endoplasmic reticulum stress. Genes related to the interactions between four alga toxins and neurodegenerative diseases were selected and analyzed, revealing that the relevant pathways and genes were those involved in apoptotic mitochondrial changes and neuroinflammatory response pathways. The adverse outcome pathway frameworks were constructed according to the analysis results for toxins and associated neurodegenerative diseases. These discoveries provide a new perspective for us to gain a deeper understanding of the neurotoxic effects of four alga toxins."
40839564,Olfactory dysfunction and amyloid-positivity in Parkinson's disease-longitudinal analysis of cognitive decline and cerebrospinal fluid markers.,"Olfactory dysfunction is a common non-motor symptom in Parkinson's disease (PD). The objective was to evaluate the association between olfaction in PD with cross-sectional and longitudinal assessments of clinical variables and novel cerebrospinal fluid (CSF) markers. Patients with PD and baseline olfactory function assessed using the Brief Smell Identification Test (B-SIT) were included from the BioFINDER-1 cohort. Clinical variables, CSF measures and disease status were assessed longitudinally for up to 11 years. CSF was analyzed using Roche Elecsys® NeuroToolKit, including biomarkers of neurodegeneration, glial activation, neuroinflammation and the core Alzheimer disease biomarkers. A total of 172 patients with PD were included, 63 with normal olfactory function and 109 with hyposmia. No differences were seen in clinical variables at baseline. Glial fibrillary acidic protein was the only CSF marker differing at baseline, being elevated in hyposmic patients with PD (12.25 ± 3.87 vs 10.46 ± 3.68, p = 0.001). At follow-up, olfactory function declined predominantly in patients with normal olfaction at baseline (β = -0.25 [-0.40 to -0.12], p = 0.001). Patients with PD with both olfactory dysfunction and amyloid-positivity (defined by the CSF Aβ42/Aβ40 ratio) declined faster in several cognitive and motor measures. Olfaction and amyloid-status were independently associated with increased risk of progressing to dementia (B-SIT score, HR = 0.77 [0.67-0.88] and amyloid-positivity, HR = 4.47 [2.30-8.67]). Olfactory dysfunction and amyloid-positivity are independently associated with a higher rate of cognitive decline and progression to dementia in patients with PD. Novel CSF markers of neurodegeneration and glial-activity do not differ depending on olfactory status in PD."
40836645,The Crosstalk Between Protective and Detrimental Interleukin (IL)-1 Family of Cytokines in Alzheimer's Disease.,"Alzheimer's disease (AD) is a long-term, progressive, degenerative disorder. One of the most important pathological characteristics of AD is the deposition of β-amyliod (Aβ) peptide, which initiates a spectrum of cerebral neuroinflammation. Vascular changes also play an important role in the pathophysiology of the disease. Cytokines, secreted by immune cells, can facilitate cell-to-cell signaling and influence the functions of the central nervous system (CNS). These important mediators of the immune system, which are known to orchestrate various molecular and cellular mechanisms in both physiological and pathological situations, can be upregulated or downregulated, leading to a complex crosstalk with numerous receptors mediating pro-inflammatory and/or anti-inflammatory actions. In particular, the interleukin (IL)-1 family of cytokines has been implicated to significantly correlate with AD pathogenesis among other cytokines in the CNS. The IL-1 family of cytokines is essential in both the innate and adaptive immune responses. This pleiotropic family of cytokines includes IL-1α, IL-1β, IL-1 receptor antagonist (RA), IL-18, IL-33, IL-36α, IL-36β, IL-36γ, IL-36RA, IL-37, and IL-38. Recent studies have demonstrated that the upregulation of pro-inflammatory cytokines, such as IL-1α and IL-1β, or the downregulation of anti-inflammatory mediators, exerts multifaceted influences on both neurodegeneration and neuroprotection. The lack of effective treatment for AD necessitates the search for new drugs that target several processes in the disease's pathology. This review aims to give a comprehensive overview of the emerging roles of the IL-1 family of cytokines in AD pathology and to explain their perspectives on introducing novel strategies for effective therapeutic/neuropsychiatric management of AD in clinical settings by discussing both the pathogenic and protective roles of these cytokines."
40835432,APOE4 reprograms microglial lipid metabolism in Alzheimer's disease: Mechanisms and therapeutic implications.,"The apolipoprotein E ε4 (APOE ε4) allele, the strongest genetic risk factor for late-onset Alzheimer's disease (AD), induces cell-type-specific disturbances in brain lipid metabolism. Although impacting astrocytes and neurons, its most pronounced effects occur in microglia, where it causes energy metabolism deficits and promotes the formation of lipid droplet-accumulating microglia, triggering a cascade of neurodegenerative responses. This review comprehensively examines how microglial APOE4-driven lipid metabolic dysregulation exacerbates neuroinflammation and compromises phagocytic capacity, particularly in the clearance of amyloid-β, phosphorylated-tau, and pathological synapses. Mechanistically, microglial APOE4 activates neuroinflammation via LilrB3-mediated type I interferon signaling and induces lipid metabolic imbalance through PU.1/NF-κB-driven transcriptional reprogramming and ER stress-SREBP2 activation. These disturbances exacerbate neuroinflammation, promote lipid droplet accumulation and cholesterol overload, impair lysosomal function, and ultimately compromise microglial phagocytosis. The resulting disruption of neuron-microglia interactions further amplifies neurotoxicity in AD. Furthermore, this review summarizes emerging therapeutic strategies targeting APOE4-related pathway in microglia. By synthesizing these insights, this review highlights the multifaceted role of microglial APOE4 in AD pathology, with particular emphasis on the central role of lipid metabolism dysregulation, and provides new intervention ideas for reducing its damage to brain function."
